市区町村名,市区町村コード,町域コード
横浜市,14100,0
横浜市鶴見区朝日町,14101,1
横浜市鶴見区安善町,14101,2
横浜市鶴見区市場上町,14101,3
横浜市鶴見区市場下町,14101,4
横浜市鶴見区市場西中町,14101,5
横浜市鶴見区市場東中町,14101,6
横浜市鶴見区市場富士見町,14101,7
横浜市鶴見区市場大和町,14101,8
横浜市鶴見区潮田町,14101,9
横浜市鶴見区江ケ崎町,14101,10
横浜市鶴見区扇島,14101,11
横浜市鶴見区小野町,14101,12
横浜市鶴見区梶山,14101,13
横浜市鶴見区上末吉,14101,14
横浜市鶴見区上の宮,14101,15
横浜市鶴見区寛政町,14101,16
横浜市鶴見区岸谷,14101,17
横浜市鶴見区北寺尾,14101,18
横浜市鶴見区駒岡,14101,19
横浜市鶴見区栄町通,14101,20
横浜市鶴見区汐入町,14101,21
横浜市鶴見区獅子ケ谷,14101,22
横浜市鶴見区下野谷町,14101,23
横浜市鶴見区尻手,14101,24
横浜市鶴見区下末吉,14101,25
横浜市鶴見区末広町,14101,26
横浜市鶴見区菅沢町,14101,27
横浜市鶴見区諏訪坂,14101,28
横浜市鶴見区大黒町,14101,29
横浜市鶴見区大黒ふ頭,14101,30
横浜市鶴見区大東町,14101,31
横浜市鶴見区佃野町,14101,32
横浜市鶴見区鶴見,14101,33
横浜市鶴見区鶴見中央,14101,34
横浜市鶴見区寺谷,14101,35
横浜市鶴見区豊岡町,14101,36
横浜市鶴見区仲通,14101,37
横浜市鶴見区生麦,14101,38
横浜市鶴見区馬場,14101,39
横浜市鶴見区浜町,14101,40
横浜市鶴見区東寺尾,14101,41
横浜市鶴見区東寺尾北台,14101,42
横浜市鶴見区東寺尾中台,14101,43
横浜市鶴見区東寺尾東台,14101,44
横浜市鶴見区平安町,14101,45
横浜市鶴見区弁天町,14101,46
横浜市鶴見区本町通,14101,47
横浜市鶴見区三ツ池公園,14101,48
横浜市鶴見区向井町,14101,49
横浜市鶴見区元宮,14101,50
横浜市鶴見区矢向,14101,51
横浜市神奈川区青木町,14102,1
横浜市神奈川区旭ケ丘,14102,2
横浜市神奈川区出田町,14102,3
横浜市神奈川区泉町,14102,4
横浜市神奈川区入江,14102,5
横浜市神奈川区浦島丘,14102,6
横浜市神奈川区浦島町,14102,7
横浜市神奈川区恵比須町,14102,8
横浜市神奈川区大口通,14102,9
横浜市神奈川区大口仲町,14102,10
横浜市神奈川区大野町,14102,11
横浜市神奈川区片倉,14102,12
横浜市神奈川区神奈川,14102,13
横浜市神奈川区神奈川本町,14102,14
横浜市神奈川区上反町,14102,15
横浜市神奈川区神之木台,14102,16
横浜市神奈川区神之木町,14102,17
横浜市神奈川区亀住町,14102,18
横浜市神奈川区神大寺,14102,19
横浜市神奈川区桐畑,14102,20
横浜市神奈川区金港町,14102,21
横浜市神奈川区栗田谷,14102,22
横浜市神奈川区幸ケ谷,14102,23
横浜市神奈川区子安台,14102,24
横浜市神奈川区子安通,14102,25
横浜市神奈川区斎藤分町,14102,26
横浜市神奈川区栄町,14102,27
横浜市神奈川区沢渡,14102,28
横浜市神奈川区三枚町,14102,29
横浜市神奈川区白幡上町,14102,30
横浜市神奈川区白幡町,14102,31
横浜市神奈川区白幡仲町,14102,32
横浜市神奈川区白幡西町,14102,33
横浜市神奈川区白幡東町,14102,34
横浜市神奈川区白幡南町,14102,35
横浜市神奈川区白幡向町,14102,36
横浜市神奈川区新浦島町,14102,37
横浜市神奈川区新子安,14102,38
横浜市神奈川区新町,14102,39
横浜市神奈川区菅田町,14102,40
横浜市神奈川区鈴繁町,14102,41
横浜市神奈川区台町,14102,42
横浜市神奈川区高島台,14102,43
横浜市神奈川区宝町,14102,44
横浜市神奈川区立町,14102,45
横浜市神奈川区反町,14102,46
横浜市神奈川区千若町,14102,47
横浜市神奈川区鶴屋町,14102,48
横浜市神奈川区富家町,14102,49
横浜市神奈川区鳥越,14102,50
横浜市神奈川区中丸,14102,51
横浜市神奈川区七島町,14102,52
横浜市神奈川区西大口,14102,53
横浜市神奈川区西神奈川,14102,54
横浜市神奈川区西寺尾,14102,55
横浜市神奈川区二本榎,14102,56
横浜市神奈川区白楽,14102,57
横浜市神奈川区羽沢町,14102,58
横浜市神奈川区羽沢南,14102,59
横浜市神奈川区橋本町,14102,60
横浜市神奈川区東神奈川,14102,61
横浜市神奈川区平川町,14102,62
横浜市神奈川区広台太田町,14102,63
横浜市神奈川区二ツ谷町,14102,64
横浜市神奈川区星野町,14102,65
横浜市神奈川区松ケ丘,14102,66
横浜市神奈川区松見町,14102,67
横浜市神奈川区松本町,14102,68
横浜市神奈川区三ツ沢上町,14102,69
横浜市神奈川区三ツ沢下町,14102,70
横浜市神奈川区三ツ沢中町,14102,71
横浜市神奈川区三ツ沢西町,14102,72
横浜市神奈川区三ツ沢東町,14102,73
横浜市神奈川区三ツ沢南町,14102,74
横浜市神奈川区瑞穂町,14102,75
横浜市神奈川区守屋町,14102,76
横浜市神奈川区山内町,14102,77
横浜市神奈川区六角橋,14102,78
横浜市西区赤門町,14103,1
横浜市西区東ケ丘,14103,2
横浜市西区伊勢町,14103,3
横浜市西区老松町,14103,4
横浜市西区岡野,14103,5
横浜市西区霞ケ丘,14103,6
横浜市西区北軽井沢,14103,7
横浜市西区北幸,14103,8
横浜市西区楠町,14103,9
横浜市西区久保町,14103,10
横浜市西区御所山町,14103,11
横浜市西区境之谷,14103,12
横浜市西区桜木町,14103,13
横浜市西区浅間台,14103,14
横浜市西区浅間町,14103,15
横浜市西区高島,14103,16
横浜市西区中央,14103,17
横浜市西区戸部町,14103,18
横浜市西区戸部本町,14103,19
横浜市西区西戸部町,14103,20
横浜市西区西平沼町,14103,21
横浜市西区西前町,14103,22
横浜市西区花咲町,14103,23
横浜市西区浜松町,14103,24
横浜市西区東久保町,14103,25
横浜市西区平沼,14103,26
横浜市西区藤棚町,14103,27
横浜市西区みなとみらい,14103,28
横浜市西区南軽井沢,14103,29
横浜市西区南幸,14103,30
横浜市西区南浅間町,14103,31
横浜市西区宮ケ谷,14103,32
横浜市西区宮崎町,14103,33
横浜市西区元久保町,14103,34
横浜市西区紅葉ケ丘,14103,35
横浜市中区相生町,14104,1
横浜市中区赤門町,14104,2
横浜市中区曙町,14104,3
横浜市中区池袋,14104,4
横浜市中区石川町,14104,5
横浜市中区伊勢佐木町,14104,6
横浜市中区上野町,14104,7
横浜市中区打越,14104,8
横浜市中区内田町,14104,9
横浜市中区扇町,14104,10
横浜市中区大芝台,14104,11
横浜市中区太田町,14104,12
横浜市中区大平町,14104,13
横浜市中区翁町,14104,14
横浜市中区尾上町,14104,15
横浜市中区海岸通,14104,16
横浜市中区柏葉,14104,17
横浜市中区かもめ町,14104,18
横浜市中区北方町,14104,19
横浜市中区北仲通,14104,20
横浜市中区黄金町,14104,21
横浜市中区寿町,14104,22
横浜市中区小港町,14104,23
横浜市中区鷺山,14104,24
横浜市中区桜木町,14104,25
横浜市中区新港,14104,26
横浜市中区新山下,14104,27
横浜市中区末広町,14104,28
横浜市中区末吉町,14104,29
横浜市中区住吉町,14104,30
横浜市中区諏訪町,14104,31
横浜市中区滝之上,14104,32
横浜市中区竹之丸,14104,33
横浜市中区立野,14104,34
横浜市中区千歳町,14104,35
横浜市中区千鳥町,14104,36
横浜市中区長者町,14104,37
横浜市中区千代崎町,14104,38
横浜市中区塚越,14104,39
横浜市中区寺久保,14104,40
横浜市中区常盤町,14104,41
横浜市中区豊浦町,14104,42
横浜市中区仲尾台,14104,43
横浜市中区錦町,14104,44
横浜市中区西竹之丸,14104,45
横浜市中区西之谷町,14104,46
横浜市中区日本大通,14104,47
横浜市中区根岸旭台,14104,48
横浜市中区根岸加曽台,14104,49
横浜市中区根岸台,14104,50
横浜市中区根岸町,14104,51
横浜市中区野毛町,14104,52
横浜市中区羽衣町,14104,53
横浜市中区初音町,14104,54
横浜市中区花咲町,14104,55
横浜市中区英町,14104,56
横浜市中区万代町,14104,57
横浜市中区日ノ出町,14104,58
横浜市中区福富町仲通,14104,59
横浜市中区福富町西通,14104,60
横浜市中区福富町東通,14104,61
横浜市中区富士見町,14104,62
横浜市中区不老町,14104,63
横浜市中区弁天通,14104,64
横浜市中区蓬莱町,14104,65
横浜市中区本郷町,14104,66
横浜市中区本町,14104,67
横浜市中区本牧荒井,14104,68
横浜市中区本牧大里町,14104,69
横浜市中区本牧三之谷,14104,70
横浜市中区本牧十二天,14104,71
横浜市中区本牧町,14104,72
横浜市中区本牧原,14104,73
横浜市中区本牧ふ頭,14104,74
横浜市中区本牧間門,14104,75
横浜市中区本牧満坂,14104,76
横浜市中区本牧緑ケ丘,14104,77
横浜市中区本牧宮原,14104,78
横浜市中区本牧元町,14104,79
横浜市中区本牧和田,14104,80
横浜市中区真砂町,14104,81
横浜市中区松影町,14104,82
横浜市中区豆口台,14104,83
横浜市中区港町,14104,84
横浜市中区南仲通,14104,85
横浜市中区南本牧,14104,86
横浜市中区簑沢,14104,87
横浜市中区宮川町,14104,88
横浜市中区妙香寺台,14104,89
横浜市中区三吉町,14104,90
横浜市中区麦田町,14104,91
横浜市中区元浜町,14104,92
横浜市中区元町,14104,93
横浜市中区矢口台,14104,94
横浜市中区山下町,14104,95
横浜市中区山田町,14104,96
横浜市中区山手町,14104,97
横浜市中区大和町,14104,98
横浜市中区山吹町,14104,99
横浜市中区山元町,14104,100
横浜市中区弥生町,14104,101
横浜市中区横浜公園,14104,102
横浜市中区吉田町,14104,103
横浜市中区吉浜町,14104,104
横浜市中区若葉町,14104,105
横浜市中区和田山,14104,106
横浜市南区井土ケ谷上町,14105,1
横浜市南区井土ケ谷下町,14105,2
横浜市南区井土ケ谷中町,14105,3
横浜市南区浦舟町,14105,4
横浜市南区永楽町,14105,5
横浜市南区榎町,14105,6
横浜市南区大岡,14105,7
横浜市南区大橋町,14105,8
横浜市南区庚台,14105,9
横浜市南区唐沢,14105,10
横浜市南区共進町,14105,11
横浜市南区弘明寺町,14105,12
横浜市南区山王町,14105,13
横浜市南区山谷,14105,14
横浜市南区清水ケ丘,14105,15
横浜市南区宿町,14105,16
横浜市南区白金町,14105,17
横浜市南区白妙町,14105,18
横浜市南区新川町,14105,19
